year,month,channel,metric,predicted_value,lower_bound,upper_bound,ds
2026,1,AI Traffic,avg_session_duration,280.2247922202114,-97.91972312768875,660.9949711181829,2026-01-01
2026,2,AI Traffic,avg_session_duration,286.6873053617655,-120.2869420769501,693.3114624546289,2026-02-01
2026,3,AI Traffic,avg_session_duration,292.52441400574975,-95.14658734704653,702.5794216121899,2026-03-01
2026,4,AI Traffic,avg_session_duration,298.98692714730385,-93.08806737429794,694.7176718839986,2026-04-01
2026,5,AI Traffic,avg_session_duration,305.2409721230013,-56.40613271863529,671.9460935266504,2026-05-01
2026,6,AI Traffic,avg_session_duration,311.70348526455547,-50.70869510605426,679.1406890275921,2026-06-01
2026,7,AI Traffic,avg_session_duration,317.9575302402529,-43.03350855057495,703.0574558639939,2026-07-01
2026,8,AI Traffic,avg_session_duration,324.420043381807,-61.34298673466973,691.9624598780396,2026-08-01
2026,9,AI Traffic,avg_session_duration,330.8825565233611,-60.88734907555427,719.3756182510444,2026-09-01
2026,10,AI Traffic,avg_session_duration,337.1366014990586,-57.1829297831882,728.1381045870236,2026-10-01
2026,11,AI Traffic,avg_session_duration,343.59911464061264,-61.615247886821784,740.2618001692905,2026-11-01
2026,1,AI Traffic,bounce_rate,31.981650270876344,16.708091804576544,49.307342011042394,2026-01-01
2026,2,AI Traffic,bounce_rate,33.83063375750246,19.545840084533943,49.56690152789056,2026-02-01
2026,3,AI Traffic,bounce_rate,35.50068335832606,18.33450942579012,51.573439171875485,2026-03-01
2026,4,AI Traffic,bounce_rate,37.34966684495217,22.27268727603093,53.68040842901457,2026-04-01
2026,5,AI Traffic,bounce_rate,39.13900570297746,23.206566496487206,55.463694691372766,2026-05-01
2026,6,AI Traffic,bounce_rate,40.987989189603574,24.610259414373623,58.55491632568797,2026-06-01
2026,7,AI Traffic,bounce_rate,42.77732804762885,25.506798902228024,58.80362667561565,2026-07-01
2026,8,AI Traffic,bounce_rate,44.62631153425497,28.70569794914492,60.941668960090226,2026-08-01
2026,9,AI Traffic,bounce_rate,46.47529502088109,30.532160138839316,62.40429373274025,2026-09-01
2026,10,AI Traffic,bounce_rate,48.264633878906366,32.5387796105173,64.56380763169322,2026-10-01
2026,11,AI Traffic,bounce_rate,50.113617365532484,34.65104616786749,66.04703504782974,2026-11-01
